Status,Project,Branch,Change-id,Upload date,Days since upload,Last update date,Days since last update,Author,Review
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,I9ab414ed9f1dae0bcd90e0bf9b550ad1c68cd3a6,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10368
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,I7575275bf1befdfd9cfa0ef980380a5f49e71e6b,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10367
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,I55415ba449cdce105185dba410e7bc7036b6ce76,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10366
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,If5b5fad7d09292448ee8a5d6555b5c157cf7f466,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10365
TO_REVIEW_AND_VERIFY,apps/web/browser,tizen_2.2,I874e55c8c6c734736c47f2dcfd0e62192b979eb8,2013-09-25,326,2013-09-25,326,romespirit,https://review.tizen.org/gerrit/#/c/10236
TO_REVIEW_AND_VERIFY,scm/test,master,I5d5b7a04a6b239f6ae51df3b5a107e61f50cfb90,2013-09-04,348,2013-09-04,348,shn,https://review.tizen.org/gerrit/#/c/9655
TO_REVIEW_AND_VERIFY,platform/upstream/libwbxml2,tizen,Ic65985a4d2d80aaa0f099dd061ad5e7b0ca5a277,2013-08-29,353,2013-08-30,352,lstelmach,https://review.tizen.org/gerrit/#/c/8972
INVALID,profile/ivi/weston-ivi-shell,tizen,Ia9bdb16053ee1309c62d16279fdd2a919e0378a5,2014-06-30,48,2014-08-15,2,mbachmann,https://review.tizen.org/gerrit/#/c/23615
INVALID,profile/ivi/dlt-daemon,tizen,I4625f3d1cf295542564bd1d3bbc139435c20c7d2,2014-08-14,3,2014-08-14,3,kthierry,https://review.tizen.org/gerrit/#/c/26030
INVALID,platform/upstream/nasm,tizen,Iecddb5ebf424dc0b0ecac84d362d2a4b8373a02e,2014-05-13,96,2014-08-07,10,vvavrychuk,https://review.tizen.org/gerrit/#/c/20886
INVALID,platform/adaptation/emulator/emulator-yagl,tizen,I38e397f2d4806178ebb51bb3850040fad7961b0f,2014-07-29,19,2014-07-31,17,tinazhang,https://review.tizen.org/gerrit/#/c/25086
INVALID,profile/ivi/Modello_Homescreen,tizen,Ic7e52190b3002471c62447e1f23143e57eb52a07,2014-07-25,23,2014-07-30,18,pcoval,https://review.tizen.org/gerrit/#/c/25006
INVALID,profile/ivi/Modello_Common,tizen,If27040bc42024fc73f61083a4892dbb046ebf33b,2014-07-25,23,2014-07-30,18,pcoval,https://review.tizen.org/gerrit/#/c/25004
INVALID,platform/core/security/libprivilege-control,tizen,I04957a45f1cdcebf63b8daa43acf64bb12ef7e6f,2014-04-08,131,2014-07-23,25,mlis,https://review.tizen.org/gerrit/#/c/19194
INVALID,profile/extras/intel-gpu-tools,2.0alpha,I78df2c52f744852176a1cb4ba79015d63966b1af,2014-06-13,65,2014-07-17,31,nzingile,https://review.tizen.org/gerrit/#/c/22943
INVALID,platform/kernel/linux-3.10,tizen,I3c57ddef4e409d8b967718fa1660170dbd54d427,2014-07-17,31,2014-07-17,31,cometzero,https://review.tizen.org/gerrit/#/c/24617
INVALID,platform/upstream/glib,tizen,Ie650fb2318798ddb8636ebd87fa4099b3d15a91a,2014-07-03,45,2014-07-03,45,pcoval,https://review.tizen.org/gerrit/#/c/23844
INVALID,platform/core/security/security-server,tizen,I34d8986ec1315ce46f7f5bc462d746df81e7e432,2014-06-06,72,2014-06-30,48,krzsas,https://review.tizen.org/gerrit/#/c/22570
INVALID,apps/core/preloaded/ug-wifi-direct,tizen,Ib82411ab40d0750ded133913aeea08d1ebd0524e,2013-10-18,303,2014-06-13,66,jiung,https://review.tizen.org/gerrit/#/c/11112
INVALID,platform/upstream/wayland,tizen,Ic18c88e49d2bc1f20b60278a8676fb31baadee98,2014-06-10,68,2014-06-10,68,pcoval,https://review.tizen.org/gerrit/#/c/22700
INVALID,sdk/ide/web-ui-builder-eplugin,develop,I95dfccaa8f5ee7d97bc17c912e37e3cf1da8e6de,2014-06-10,69,2014-06-10,69,yonghwan,https://review.tizen.org/gerrit/#/c/22688
INVALID,apps/core/preloaded/net-popup,tizen,I0a4780af9682bd5a0da0593f8bb8c493f4238c35,2014-01-27,202,2014-06-03,75,dorileo,https://review.tizen.org/gerrit/#/c/15753
